iter	Passed	Remaining
0	18	18666
1	33	16948
2	47	15731
3	59	14836
4	72	14451
5	84	13988
6	94	13348
7	104	12897
8	112	12381
9	121	12008
10	133	11965
11	145	11980
12	159	12073
13	168	11886
14	177	11639
15	191	11763
16	205	11861
17	214	11683
18	229	11850
19	240	11794
20	251	11727
21	261	11624
22	275	11694
23	286	11643
24	295	11506
25	305	11445
26	317	11429
27	329	11424
28	341	11448
29	353	11422
30	361	11314
31	372	11267
32	383	11227
33	391	11118
34	404	11151
35	419	11234
36	431	11218
37	442	11206
38	456	11238
39	468	11254
40	480	11232
41	488	11153
42	499	11124
43	508	11048
44	521	11071
45	535	11103
46	552	11197
47	562	11147
48	573	11124
49	582	11076
50	595	11074
51	606	11063
52	619	11063
53	630	11040
54	640	11007
55	652	11006
56	664	10993
57	675	10967
58	685	10928
59	695	10902
60	705	10861
61	719	10884
62	732	10889
63	744	10892
64	753	10835
65	762	10786
66	777	10829
67	788	10800
68	800	10806
69	812	10795
70	820	10734
71	832	10731
72	845	10735
73	855	10703
74	866	10691
75	876	10650
76	886	10624
77	897	10605
78	907	10584
79	918	10567
80	929	10545
81	943	10563
82	953	10531
83	963	10511
84	976	10511
85	987	10494
86	996	10453
87	1008	10456
88	1020	10440
89	1030	10415
90	1040	10393
91	1053	10392
92	1066	10405
93	1077	10387
94	1089	10378
95	1100	10358
96	1111	10347
97	1123	10337
98	1158	10543
99	1185	10672
100	1254	11164
101	1268	11165
102	1288	11220
103	1316	11342
104	1332	11362
105	1358	11455
106	1376	11485
107	1394	11519
108	1421	11619
109	1440	11654
110	1457	11676
111	1474	11686
112	1501	11785
113	1517	11793
114	1536	11822
115	1553	11842
116	1567	11833
117	1585	11851
118	1602	11867
119	1618	11869
120	1633	11870
121	1648	11865
122	1663	11863
123	1672	11816
124	1685	11797
125	1696	11765
126	1703	11711
127	1715	11683
128	1722	11632
129	1735	11612
130	1745	11577
131	1755	11542
132	1765	11511
133	1777	11485
134	1788	11461
135	1800	11439
136	1811	11411
137	1824	11394
138	1833	11359
139	1844	11329
140	1855	11306
141	1864	11265
142	1874	11231
143	1884	11199
144	1895	11179
145	1906	11149
146	1915	11114
147	1926	11090
148	1935	11055
149	1947	11036
150	1959	11015
151	1968	10983
152	1980	10963
153	1991	10939
154	2002	10918
155	2014	10897
156	2025	10874
157	2036	10854
158	2047	10828
159	2059	10810
160	2071	10796
161	2081	10767
162	2095	10759
163	2109	10752
164	2122	10738
165	2132	10715
166	2141	10683
167	2151	10656
168	2160	10623
169	2175	10622
170	2188	10609
171	2199	10586
172	2209	10564
173	2220	10542
174	2229	10509
175	2241	10494
176	2250	10464
177	2260	10437
178	2270	10412
179	2280	10390
180	2291	10369
181	2301	10343
182	2312	10323
183	2322	10300
184	2331	10272
185	2342	10253
186	2354	10238
187	2366	10220
188	2374	10189
189	2386	10173
190	2397	10154
191	2407	10130
192	2418	10112
193	2429	10093
194	2442	10083
195	2453	10065
196	2464	10045
197	2473	10017
198	2486	10008
199	2499	9996
200	2511	9982
201	2522	9966
202	2533	9946
203	2545	9931
204	2555	9910
205	2568	9901
206	2582	9892
207	2596	9886
208	2609	9877
209	2622	9865
210	2634	9852
211	2644	9830
212	2652	9799
213	2668	9799
214	2680	9786
215	2690	9764
216	2700	9742
217	2713	9734
218	2723	9713
219	2734	9694
220	2745	9676
221	2756	9661
222	2766	9639
223	2778	9625
224	2789	9607
225	2800	9592
226	2811	9574
227	2822	9558
228	2833	9539
229	2845	9526
230	2861	9525
231	2876	9520
232	2892	9521
233	2903	9506
234	2914	9487
235	2924	9468
236	2935	9450
237	2944	9427
238	2958	9419
239	2970	9406
240	2985	9402
241	3001	9400
242	3011	9381
243	3024	9371
244	3034	9351
245	3045	9334
246	3054	9310
247	3063	9289
248	3075	9276
249	3086	9259
250	3095	9236
251	3110	9232
252	3121	9217
253	3136	9211
254	3151	9205
255	3164	9195
256	3179	9191
257	3202	9210
258	3214	9197
259	3227	9187
260	3250	9204
261	3262	9188
262	3275	9177
263	3290	9174
264	3306	9171
265	3323	9170
266	3339	9167
267	3356	9167
268	3378	9179
269	3394	9176
270	3405	9162
271	3422	9160
272	3437	9153
273	3455	9155
274	3470	9149
275	3500	9181
276	3521	9190
277	3549	9217
278	3565	9214
279	3582	9211
280	3609	9236
281	3620	9217
282	3634	9208
283	3654	9214
284	3678	9228
285	3697	9231
286	3713	9225
287	3730	9222
288	3748	9220
289	3764	9216
290	3782	9216
291	3798	9211
292	3813	9202
293	3828	9194
294	3845	9189
295	3860	9182
296	3878	9180
297	3895	9177
298	3909	9164
299	3931	9172
300	3957	9189
301	3978	9196
302	3994	9188
303	4010	9182
304	4026	9175
305	4045	9175
306	4060	9165
307	4076	9159
308	4093	9153
309	4107	9141
310	4123	9135
311	4139	9128
312	4156	9124
313	4174	9119
314	4203	9139
315	4218	9130
316	4230	9114
317	4240	9093
318	4253	9080
319	4263	9059
320	4272	9038
321	4286	9026
322	4299	9012
323	4311	8995
324	4320	8972
325	4333	8959
326	4345	8943
327	4354	8921
328	4367	8907
329	4380	8893
330	4391	8875
331	4402	8859
332	4413	8839
333	4422	8817
334	4431	8796
335	4440	8775
336	4453	8760
337	4466	8748
338	4480	8735
339	4488	8713
340	4499	8694
341	4512	8682
342	4523	8665
343	4535	8648
344	4547	8632
345	4559	8617
346	4572	8603
347	4581	8583
348	4596	8573
349	4607	8557
350	4617	8537
351	4627	8519
352	4639	8502
353	4650	8485
354	4660	8468
355	4672	8452
356	4683	8435
357	4693	8416
358	4705	8401
359	4714	8380
360	4728	8369
361	4744	8361
362	4758	8349
363	4776	8346
364	4788	8329
365	4799	8313
366	4808	8293
367	4820	8279
368	4830	8260
369	4846	8251
370	4856	8234
371	4868	8218
372	4878	8200
373	4889	8184
374	4903	8172
375	4913	8155
376	4926	8140
377	4937	8125
378	4949	8109
379	4961	8094
380	4973	8080
381	4986	8067
382	4999	8053
383	5009	8035
384	5021	8020
385	5032	8004
386	5046	7993
387	5057	7977
388	5070	7964
389	5081	7948
390	5091	7930
391	5103	7915
392	5115	7901
393	5126	7884
394	5137	7868
395	5152	7858
396	5164	7844
397	5175	7828
398	5186	7812
399	5197	7796
400	5209	7782
401	5220	7766
402	5234	7754
403	5244	7737
404	5257	7723
405	5271	7712
406	5283	7698
407	5297	7686
408	5308	7670
409	5320	7655
410	5336	7647
411	5348	7633
412	5363	7623
413	5376	7610
414	5387	7595
415	5399	7580
416	5409	7563
417	5419	7546
418	5431	7531
419	5443	7517
420	5455	7503
421	5467	7488
422	5477	7472
423	5490	7458
424	5500	7441
425	5512	7428
426	5524	7413
427	5535	7397
428	5547	7383
429	5560	7370
430	5572	7357
431	5584	7342
432	5597	7329
433	5611	7317
434	5626	7308
435	5639	7294
436	5649	7278
