Category,Metric,Value,Description
Execution Info,Model Type,Cost-Sensitive Logistic Regression (Single Model),Optimized for business value
Data Summary,Total Samples,"10,000",Total customer base analyzed
Data Summary,Training Samples,"8,000",Data used to train model
Data Summary,Test Samples,"2,000",Data used to validate performance
Data Summary,Churn Rate,20.37%,Baseline churn rate in data
Model Performance,Precision,36.52%,% of predicted churners who actually churn
Model Performance,Recall,75.92%,% of actual churners correctly identified
Model Performance,F1-Score,0.493,Balanced performance metric
Model Performance,ROC-AUC,0.777,Overall model discrimination ability
Business Impact,Predicted Churners,846,Customers flagged for retention outreach
Business Impact,True Churners Identified,309,Actual churners correctly caught
Business Impact,Unnecessary Promotions,537,Customers flagged who wouldn't have churned
Business Impact,Missed Churners,98,Actual churners the model missed
Business Impact,Net Business Value,"$201,600",Profit after promotion costs
Business Impact,Cost Per Saved Customer,$348,Average promotion waste per saved customer
Model Configuration,Decision Threshold,0.4,Optimized cutoff point for predictions
Model Configuration,Business Assumption,Missing churner costs 3x false positive,Risk weighting strategy
Model Configuration,Model Class Weights,"{0: 1, 1: 3}",Penalizes missing churners more heavily
Campaign Planning,Recommended Campaign Size,846,Target customers for retention efforts
Campaign Planning,Expected Customer Savings,"$309,000",From 309 saved customers
Campaign Planning,Promotion Budget Needed,"$107,400",For 537 false positives
Campaign Planning,Cost-Benefit Ratio,1:2.9,Savings per $1 of cost
Campaign Planning,Churn Capture Rate,75.9%,Of potential churners caught
Campaign Planning,Targeting Accuracy,36.5%,Of predictions that are correct
Campaign Planning,ROI Per Dollar,$2.88,Saved per $1 spent on promotions
Key Insights,Optimal Threshold,0.4,"Maximizes business value at $201,600"
Key Insights,Efficiency Gain,56% reduction,"From 1,908 to 846 customers targeted"
Key Insights,Value Trade-off,Best balance,75.9% recall with manageable false positives
Key Insights,Campaign Focus,High-risk only,Only customers with ≥40% churn probability
